age,activity,placebrith,gender,town,genre,frequency_of_play
1997,студент,Москва,Мужчина,Москва,Battle Royal,каждый день
2000,Графический дизайн,Москва,Мужчина,Москва,Souls-like игры,каждый день
1998,лингвист,Таганрог,Иначе,Зеленоград,RPG,от двух до пяти дней в неделю
2000,студентка ,Россия,Женщина,Москва,RPG,несколько раз в неделю
2000,лингвист,Оренбург,Женщина,Москва,Казуальные игры,несколько раз в месяц
2000,студентка,Москва,Женщина,Москва,Симуляторы,несколько раз в месяц
2000,Студент,Москва,Мужчина,Москва,RPG,несколько раз в месяц
1997,"писательница, сценаристка",Россия,Женщина,Киев,Шутеры,от двух до пяти дней в неделю
2000,Программист,Москва,Мужчина,Москва,MMORPG,каждый день
2000,Студент,"Россия, Иркутская область",Женщина,Братск,Визуальные новеллы,несколько раз в месяц
2001,студент филолог,г. Братск,Женщина,Санкт-Петербург ,RPG,каждый день
1999,лингвист,Братск,Мужчина,Москва,Симуляторы,один раз в месяц и реже
2000,Игровой журналист,Новосибирск,Мужчина,Санкь-Петербург ,RPG,от двух до пяти дней в неделю
2001,Студент,Зеленоград,Мужчина,Зеленоград,Шутеры,несколько раз в неделю
1991,Художник,Екатеринбург,Женщина,Екатеринбург,RPG,каждый день
2000,Студент,Анапа,Мужчина,Москва,Шутеры,несколько раз в неделю
2004,Ученик школы,Ижевск,Мужчина,Москва,MMORPG,несколько раз в месяц
1999,Студентка,Москва,Женщина,Черноголовка,Визуальные новеллы,несколько раз в месяц
2000,Студент ,Симферополь ,Мужчина,Санкт- Петербург,MMORPG,несколько раз в месяц
2000,студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц
1994,Реставратор,Маленький город в Сибири,Мужчина,Санкт-Петербург,RPG,несколько раз в неделю
2000,студент лингвист,Ижевск,Женщина,Долгопрудный,RPG,несколько раз в неделю
1999,Кинопроизводство,Москва,Мужчина,Москва,Стратегии,несколько раз в месяц
2000,студент факультета графический дизайн,Санкт-Петербург,Женщина,Санкт-Петербург,RPG,каждый день
1994,Татуировщик,Пенза,Женщина,Москва,RPG,несколько раз в месяц
1997,преподаватель,Новосибирск,Женщина,Новосибирск,RPG,несколько раз в неделю
2001,Студентик,Москва,Мужчина,Москва,Стратегии,несколько раз в неделю
2000,Студент Гуманитарного Направления,Москва,Мужчина,Москва,RPG,несколько раз в месяц
2001,студентка,Москва,Женщина,Москва,RPG,несколько раз в неделю
1983,Системный администратор,Кременчуг,Мужчина,Екатеринбург,RPG,несколько раз в месяц
1997,студентка психфака,Москва,Женщина,Москва,MMORPG,несколько раз в неделю
1997,студентка,Москва,Женщина,Долгопрудный,RPG,несколько раз в месяц
2001,Студент,Ярославль,Женщина,Москва,Стратегии,один раз в месяц и реже
1998,менеджер в поддержке пользователей и компьютерный лингвист,Липецкая область,Женщина,Москва,RPG,один раз в месяц и реже
1998,Студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц
2000,Студент,Москва,Женщина,Москва,Визуальные новеллы,от двух до пяти дней в неделю
1993,Администратор в магазине одежды,Нижнекамск,Женщина,Санкт-Петербург,Симуляторы,несколько раз в месяц
2001,Долбаеб,Селембимск,Мужчина,Санкт-Петербург,Шутеры,каждый день
1994,Инженер-проектировщик,Сочи,Женщина,Москва,Action-adventure,несколько раз в неделю
1999,Студент,Санкт-Петербург,Мужчина,Санкт-Петербург,RPG,каждый день
2003,школьник,Россия,Мужчина,Екатеринбург,Rogue-like,каждый день
2000,-,Россия,Женщина,Оренбургская область,RPG,несколько раз в неделю
1987,3д-анимация для игр,Обнинск,Мужчина,Москва,RPG,несколько раз в неделю
2000,Студентка,Каневская,Женщина,Краснодар,RPG,каждый день
2001,студент,Сыктывкар,Женщина,Киров,RPG,каждый день
2000,Студент,Россия,Мужчина,Москва,Action-adventure,несколько раз в неделю
2000,Data science,Москва,Мужчина,Москва,MMORPG,от двух до пяти дней в неделю
1977,импорт/экспорт,Россия,Мужчина,Ангарск Иркутской области,RPG,каждый день
1988,IT,Москва,Мужчина,Москва,RPG,каждый день
2000,Студентка,Подмосковье ,Женщина,Москва ,RPG,один раз в месяц и реже
1988,Медицина,Якутия,Женщина,Новосибирск,MMORPG,каждый день
1990,бизнес-аналитик,Новосибирск,Женщина,Новосибирск,RPG,несколько раз в неделю
1999,Студент,Новосибирск,Женщина,Москва,RPG,каждый день
1999,"Студент, лаборант-исследователь",Ногинск,Мужчина,Москва,RPG,каждый день
1996,Врач,Новосибирск,Женщина,Новосибирск,Визуальные новеллы,от двух до пяти дней в неделю
1995,Иллюстратор,Кудымкар,Женщина,Москва,Souls-like игры,несколько раз в неделю
1993,игровой локализатор,Иркутская область,Женщина,Санкт-Петербург ,Action-adventure,несколько раз в месяц
2000,студентка,Пермь,Женщина,Москва,RPG,несколько раз в месяц
1995,Программист,Санкт-Петербург,Женщина,Москва,Rogue-like,один раз в месяц и реже
1999,Инженер,Брянск,Мужчина,Зеленоград,Souls-like игры,от двух до пяти дней в неделю
1996,бариста,Электросталь,Мужчина,Зеленоград,Шутеры,один раз в месяц и реже
1996,Продажи,Москва,Иначе,Москва,RPG,от двух до пяти дней в неделю
1995,Переводчик,Набережные Челны ,Женщина,Набережные Челны,RPG,каждый день
1994,"Учитель, переводчик",Шилово,Женщина,Рязань,RPG,несколько раз в неделю
1989,Проджект менеджер в театре,"Пермь, Россия",Женщина,Пермь,MMORPG,несколько раз в месяц
1997,работаю,Беларусь,Женщина,Гродно,Action-adventure,каждый день
1995,Инженер,Северодвинск,Мужчина,Зеленоград,Rogue-like,несколько раз в месяц
1993,IT,Россия,Мужчина,Великий Новгород,RPG,каждый день
